オブザーバビリティ成熟度モデル,,,
評価項目,成熟度レベル,説明,具体例
能力成熟度モデル統合（CMMI）,レベル1,プロセスは未定義で場当たり的に運用されており、成功は主に個々の能力や努力に依存している。,-
,レベル2,プロジェクトレベルで基本的な管理プロセスが確立され、計画・監視・制御によって再現可能な成果が得られている。,-
,レベル3,組織全体で標準化されたプロセスが定義・文書化され、全プロジェクトで一貫して適用されている。,-
,レベル4,プロセスのパフォーマンスが統計的手法により定量的に測定・制御されており、予測可能かつ安定した成果が得られている。,-
,レベル5,継続的な改善と技術革新が組織文化として確立され、プロセスの有効性と適応力が継続的に向上している。,-
"データ収集と可視化
システムのあらゆる領域に関するデータを網羅的に収集し、リアルタイムで可視化・分析できる能力。",レベル1,データ収集と可視化は個人の裁量に依存しており、対象範囲や手法は定義されておらず、一貫性もない。記録や手順も未整備で、場当たり的な運用にとどまっている。,サーバのCPU・メモリ使用率のみを監視しており、アプリケーションログは一部のみ収集している。可視化はシンプルなグラフに限られ、異常検知は手動で行っている。
,レベル2,主要システムに対して、基本的なメトリクスやログの収集・可視化に関する管理プロセスが導入されている。収集手順や品質確認も実施されているが、データの統合やリアルタイム性には課題が残り、プロジェクト単位での実施にとどまっている。,メトリクス収集・可視化の手順書を整備し、担当と実施頻度を明確にしている。アプリケーションやネットワークのデータはツールごとに分断されており、更新頻度が低いため即応性に欠けている。データ品質の点検も実施しているが、ツールや手法はチームごとに異なっており、一貫性は限定的である。
,レベル3,組織標準として統一されたデータ収集・可視化プロセスが文書化され、インフラ・アプリ・ネットワーク・DB層に一貫して適用されている。可視化基準や品質管理も共通ルールとして定着している。,DatadogやNew Relicなどを使い、全層のモニタリングを標準プロセスに沿って実施している。共通テンプレートで可視化しており、異常発生時の初動確認もルール化している。
,レベル4,データ収集・可視化のパフォーマンスがKPIや統計的手法により定量的に測定・制御されており、プロセスの品質・精度の安定運用が実現されている。異常検知の精度や検出遅延なども評価対象となっている。,収集率・データ精度・しきい値調整頻度・アラート検出精度などをKPIで管理している。異常検知アルゴリズムの誤検知率・見逃し率を測定しており、継続的にモデルを改善している。
,レベル5,AI・機械学習による予測分析と最適化の仕組みが確立されており、改善提案から導入までが自動化されている。これにより、継続的改善が組織文化として定着している。,AIが収集データからトラフィックの急増を予測しており、ダッシュボードの構成変更やアラートルールの最適化を提案・自動実行している。運用側での介入を最小限に抑えつつ、改善活動を継続的に自動化している。
